strongs	source	gloss
H270	bdb	grasp, take hold of, take possession; grasp, take hold of; be caught; enclose, overlay; fastened
H270	strongs_he	to seize (often with the accessory idea of holding in possession)
H271	bdb	he has grasped
H271	strongs_he	Achaz, the name of a Jewish king and of an Israelite
H272	bdb	possession
H272	strongs_he	something seized, i.e. a possession (especially of land)
H273	bdb	Yah, u, hath grasped
H273	strongs_he	Achzai, an Israelite
H274	bdb	Yah, u, hath grasped
H274	strongs_he	Achazjah, the name of a Jewish and an Israelite king
H275	bdb	possessor
H275	strongs_he	Achuzzam, an Israelite
H276	bdb	possession
H276	strongs_he	Achuzzath, a Philistine
H277	bdb	brother of Yah, u
H277	strongs_he	Achi, the name of two Israelites
H278	bdb	אֵחִי n.pr.m. a son of Benjamin Gn 46:21 (P)
H278	strongs_he	Echi, an Israelite
H279	bdb	אֲחִיאָם n.pr.m. one of David’s heroes 2 S 23:33 1 Ch 11:35.
H279	strongs_he	Achiam, an Israelite
H280	bdb	riddle
H280	strongs_he	an enigma
H281	bdb	brother of Yah, u
H281	strongs_he	Achijah, the name of nine Israelites
H282	bdb	brother of majesty
H282	strongs_he	Achihud, an Israelite
H283	bdb	fraternal
H283	strongs_he	Achio, the name of three Israelites
H284	bdb	אֲחִיחֻד n.pr.m. son of Ehud, a Benjamite 1 Ch 8:7.
H284	strongs_he	Achichud, an Israelite
H285	bdb	my brother is goodness
H285	strongs_he	Achitub, the name of several priests
H286	bdb	child’s brother
H286	strongs_he	Achilud, an Israelite
H287	bdb	my brother is death
H287	strongs_he	Achimoth, an Israelite
H288	bdb	brother of Melek
H288	strongs_he	Achimelek, the name of an Israelite and of a Hittite
H289	bdb	my brother is a gift
H289	strongs_he	Achiman, the name of an Anakite and of an Israelite
H290	bdb	my brother is wrath
H290	strongs_he	Achimaats, the name of three Israelites
H291	bdb	fraternal
H291	strongs_he	Achjan, an Israelite
H292	bdb	my brother is noble
H292	strongs_he	Achinadab, an Israelite
H293	bdb	my brother is delight
H293	strongs_he	Achinoam, the name of two Israelitesses
H294	bdb	my brother has supported
H294	strongs_he	Achisamak, an Israelite
H295	bdb	my brother is help
H295	strongs_he	Achiezer, the name of two Israelites
H296	bdb	my brother has arisen
H296	strongs_he	Achikam, an Israelite
H297	bdb	brother of; the; lofty
H297	strongs_he	Achiram, an Israelite
